,Potential
227,4.4828591720875
228,4.979222629712501
229,5.5596640703875
230,6.0031211434625
231,6.2199288755875
232,6.2261955156374995
233,6.1086498608625
234,5.9626039773374995
235,5.8569634622999995
236,5.814289466875
237,5.792740827
238,5.6951316444749995
239,5.424291444575
240,4.9799851925625
241,4.5231953492875
242,4.3057520416875
243,4.4828591720875
244,4.9792226297125
245,5.5596640703875
246,6.003121143462501
247,6.2199288755875
248,6.2261955156374995
249,6.1086498608625
250,5.9626039773374995
251,5.8569634622999995
252,5.814289466875
253,5.792740827
254,5.6951316444749995
255,5.424291444575
256,4.979985192562499
257,4.5231953492875
258,4.3057520416875
259,4.4828591720875
260,4.979222629712501
261,5.5596640703875
262,6.0031211434625
263,6.2199288755875
264,6.2261955156374995
265,6.1086498608625
266,5.9626039773374995
267,5.8569634622999995
268,5.814289466875
269,5.792740827
270,5.6951316444749995
271,5.424291444575
272,4.9799851925625
273,4.5231953492875
274,4.3057520416875
275,4.4828591720875
276,4.9792226297125
277,5.5596640703875
278,6.003121143462501
279,6.2199288755875
