,Planar,Macroscopic
69,0.8898225132417541,-4.229292410212703
70,0.9125651843776545,-4.229311339897224
71,0.889767981512432,-4.2293323476456
72,0.8281037608953726,-4.2293558141752685
73,0.7295135381291706,-4.229382136027799
74,0.586167578722249,-4.229411757909792
75,0.40546265748970256,-4.229445109305342
76,0.19976144993764702,-4.229482614712609
77,-0.027315751150655748,-4.229524610233027
78,-0.2717294749477475,-4.229571345589316
79,-0.5328955513523636,-4.229622899079789
80,-0.8226974189002667,-4.229679191720569
81,-1.1512426598907881,-4.229739919950738
82,-1.5166235183496455,-4.229804596299
83,-1.9117679727515622,-4.2298725064448774
84,-2.3258567362671103,-4.229942777500165
85,-2.765043495923173,-4.230014357451258
86,-3.247036349649047,-4.230086106188431
87,-3.77390415960135,-4.2301567897268555
88,-4.334198229894393,-4.230225183570687
89,-4.9103961628517405,-4.230290068053267
90,-5.490495866778445,-4.230350326125355
91,-6.054466376762742,-4.230404921462796
92,-6.583913960180319,-4.230452973515888
93,-7.062783591387427,-4.230493701075124
94,-7.481646298095409,-4.230526470184963
95,-7.833023638472548,-4.230550714035601
96,-8.107845189837985,-4.230565985963888
97,-8.323102001639171,-4.2305719128194
98,-8.505778310213515,-4.230568295428917
99,-8.674878688241849,-4.230555101528004
100,-8.84384889376527,-4.230532583750473
101,-9.014669922646902,-4.230501240812974
102,-9.1753072704053,-4.230461865732882
103,-9.305222724966852,-4.23041540144501
104,-9.384920134706281,-4.23036288182719
105,-9.411399662469872,-4.23030520419789
106,-9.385203256829236,-4.230243047221573
107,-9.305793713364515,-4.230176677761673
108,-9.17617485039551,-4.230105968069803
109,-9.015844791684971,-4.230030338616877
110,-8.845341773567844,-4.229948917535628
111,-8.676696997209007,-4.229860593128768
112,-8.507924068386398,-4.229764244438035
113,-8.32556851694081,-4.229658800824811
114,-8.110616172905155,-4.229543433282064
115,-7.836070998402425,-4.22941754160166
116,-7.4849313772438135,-4.229280870560214
117,-7.066256375907454,-4.229133427604523
118,-6.58751602787432,-4.2289755586716264
119,-6.058131278838211,-4.228807843475498
120,-5.494153407785887,-4.228631166764406
121,-4.913973108351832,-4.2284466010483435
122,-4.33762314240085,-4.228255470594282
123,-3.777107663396725,-4.228059217548564
124,-3.2499556059239345,-4.227859448642214
125,-2.767621113508758,-4.227657777932568
126,-2.328044067680402,-4.227455856220842
127,-1.9135219016353266,-4.2272551942727645
128,-1.5179084741031177,-4.2270571925026434
129,-1.1520259950989333,-4.2268629705787175
130,-0.8229521912268867,-4.226673425067531
131,-0.5325980938170528,-4.226489092327045
132,-0.27086565501096876,-4.226310250713217
133,-0.025881106714632732,-4.2261368188038535
134,0.20175401011943556,-4.225968495390858
135,0.4079847348256665,-4.225804670069596
136,0.5891717821338909,-4.225644564012167
137,0.7329422802839546,-4.225487117341384
138,0.8318925387324941,-4.225331097676602
139,0.8938599472927492,-4.225174934877011
140,0.9169161727198708,-4.225016784911962
141,0.8944138437054223,-4.22485432612904
142,0.8330534393262612,-4.2246848245863005
143,0.7348075998339986,-4.224504973410207
144,0.5918670544097037,-4.224311058323024
145,0.4116453659698943,-4.224098926030986
146,0.20650585828901585,-4.223864313083144
147,-0.019934698224972992,-4.223602941224219
148,-0.26365374695545624,-4.223310923451487
149,-0.5240831337241529,-4.222984866037838
150,-0.8131304459990119,-4.222622247895131
151,-1.140921652992418,-4.222221467764724
152,-1.5055726930469004,-4.221782173584515
153,-1.9000279090225463,-4.221305235802441
154,-2.313489366490701,-4.220792973632049
155,-2.7521238957987757,-4.220248939012458
156,-3.233657217864734,-4.219677878889866
157,-3.760166446401127,-4.21908517466789
158,-4.320214406449827,-4.218476462745623
